==== END RUN ====
0 1 0.0 
0 27 1.0 
0 239 2.0 
2 7267 3.0 
8 27664 4.0 
13 44252 5.0 
34 111817 6.0 
67 215445 7.0 
134 429919 8.0 
253 810955 9.0 
==== END RUN ====
0 1 0.0 
0 35 1.0 
0 464 2.0 
1 4630 3.0 
6 19759 4.0 
7 23589 5.0 
9 29331 6.0 
12 38423 7.0 
16 52453 8.0 
88 281769 9.0 
98 315199 10.0 
==== END RUN ====
0 1 0.0 
0 29 1.0 
0 319 2.0 
2 7393 3.0 
6 21930 4.0 
10 32825 5.0 
13 41795 6.0 
18 59753 7.0 
==== END RUN ====
